ID,Title,Company,Location,Start_date,Cost
1,Python Development,DeepTech Launchpad,"Coimbatore, Erode, Ooty, Pollachi, Udumalpet, Palani, Avinashi, Tiruppur, Gobichettipalayam, Mettupalayam, Annur, Perundurai, Salem, Sulur, Palladam",6 Months,"₹ 2,000 /month"
2,Python Development,Insource Technologies,"Coimbatore, Erode, Tirunelveli, Dindigul, Pollachi, Tiruchengode, Udumalpet, Tiruvannamalai, Palani, Tiruppur, Salem, Tamil Nadu",3 Months,"₹ 2,000 - 5,000 /month"
3,IT Trainee,KGiSL Microcollege,Coimbatore,3 Months,"₹ 4,000 - 8,000 /month"
4,Python Development,DeepTech Launchpad,"Coimbatore, Erode, Ooty, Pollachi, Udumalpet, Palani, Avinashi, Tiruppur, Mettupalayam, Annur, Perundurai, Salem, Sulur, Gopichettipalayam, Palladam",6 Months,"₹ 2,000 /month"
5,Python Development,SMC Trades Private Limited,Coimbatore,2 Months,"₹ 4,000 - 7,500 /month"
6,ReactJS Development,BELAKHEDA UDAY BHARTI SAMAJ KALYAN SAMITEE,"Chennai, Coimbatore, Bangalore",2 Months,Unpaid
7,AI Automation & Vibe Coding (Prompt Engineering + Tiny Tool Building),MUHAMMED MUBASHIR,"Mangalore, Malappuram",1 Month,"₹ 3,000 /month"
8,AI Tools & Vibe Coding,Tech Tool Wale,"Mangalore, Malappuram",3 Months,"₹ 2,500 /month"
9,Embedded Systems,Velox Innovations,Thrissur,6 Months,"₹ 6,000 - 10,000 /month"
10,PowerApps Developer,EY,Kochi,Not Provided,Competitive stipend
11,N/A,N/A,N/A,N/A,N/A
12,Cyber Security,Finpro Technologies,"Chennai, Kozhikode, Mangalore, Thiruvananthapuram, Hyderabad, Kochi, Kannur, Bangalore, Goa Velha, Delhi, Pune, Mumbai",3 Months,"₹ 25,000 - 45,000 /month"
13,Python Development,Learners Education Support Services,Kochi,6 Months,"₹ 10,000 /month"
14,Full Stack Development,Think41,"Bangalore, Mangalore, Karnakuppe",6 Weeks,"₹ 25,000 /month"
15,Python Development,Time Line Investments,"Mangalore, Mysuru, Tumakuru, Bangalore, Karnataka",6 Months,"₹ 2,000 /month"
16,Android App Development,Startup Village Club,"Mysuru, Bangalore",6 Weeks,Unpaid
17,Blockchain Development,Nobel Tech Innovations,"Chennai, Delhi, Mumbai, Jaipur, Bangalore",6 Months,"₹ 5,000 - 10,000 /month"
18,PHP Development,Prabal Information Systems LLP,Chennai,3 Months,"₹ 8,000 - 15,000 /month"
19,Full Stack Development,Techcora Corporation Private Limited,Chennai,3 Months,"₹ 2,500 - 20,000 /month"
20,Software Testing,Jorim Technology Solutions Private Limited,Chennai,6 Months,"₹ 15,000 /month"
21,Mobile App Development,Sobee Technologies,Chennai,3 Months,"₹ 10,000 - 1,20,000 /month"
22,Embedded Product Testing,Tavago Tech Private Limited,Chennai,6 Months,"₹ 7,500 - 10,000 /month"
23,Full Stack Development,Infiligence,Chennai,6 Months,"₹ 10,000 - 15,000 /month"
24,Software Development,Planys Technologies Private Limited,Chennai,6 Months,"₹ 12,500 - 15,000 /month"
25,JavaScript Development,Spritle Software,Chennai,3 Months,"₹ 4,000 - 5,000 /month"
26,Automation Testing,J&F INDIA PRIVATE LIMITED,Chennai,6 Months,"₹ 11,000 - 22,000 /month"
27,Flutter Development,Velozity Global Solutions,"Chennai, Bangalore",6 Months,"₹ 15,000 - 20,000 /month"
28,Full Stack Development,Hydizo Global Solutions PVT LTD,"Bhilai, Chennai, Pune, Srikakulam, Hyderabad, Bangalore, Gujarat, Tamil Nadu",6 Months,"₹ 6,500 - 17,500 /month"
29,Information Technology,Mobius Knowledge Services Private Limited,Chennai,3 Months,"₹ 7,000 - 10,000 /month"
30,Front End Development,Hepra Soft Pvt Ltd,Chennai,6 Months,"₹ 10,000 - 15,000 /month"
31,Full Stack Development,Velozity Global Solutions,"Chennai, Bangalore",6 Months,"₹ 10,000 - 15,000 /month"
32,Software Development,F22 Labs,Chennai,6 Months,"₹ 9,000 - 10,000 /month"
33,Intern - Quality Control,Perfint Healthcare Private Limited,"Chennai, Tamil Nadu",6 Months,"₹ 15,000 - 20,000 /month"
34,Front End Development,Meteoros Automation,Chennai,6 Months,"₹ 3,500 - 7,500 /month"
35,AutoCAD Plugin Development Intern (AutoLISP),Godel Technologies LLP,Chennai,3 Months,"₹ 30,000 - 50,000 /month"
36,Full Stack Development,Legacies Techno Pvt Ltd,Chennai,3 Months,"₹ 10,000 /month"
37,Shopify Developer,Velozity Global Solutions,"Chennai, Bangalore",6 Months,"₹ 5,000 - 15,000 /month"
38,Full Stack Development,OpenGenX Technologies,Madurai,3 Months,"₹ 2,000 /month"
39,Field Engineer,Reliance Jio,Kayamkulam,Not Provided,Competitive stipend
40,Field Engineer_DET,Jio,Madikeri,Not Provided,Competitive stipend
41,N/A,N/A,N/A,N/A,N/A
